代码,名称,成交额,涨跌幅,交易日期,备注,空白列
000001,平安银行,"1,234.5万",12.5%,2023/1/5,*重点*,
00700,ＴＥＣＨ（港）,3亿,-3.2%,2023年1月6日,正常备注,   
300750,宁德时代,1.5万亿,0.5%,2023.01.07,,
600519,ＨＫＣ／ＡＢＢ　（２０２４）,3千万,10%,2023-01-08,"含,逗号",   
000001.0,贵州茅台,"(1,234)",—,２０２３．１．８,,
６００５１９,五粮液,"￥9,876",2.1%,2023.2.30,*待复核*,   
601398,工商银行,"1,234元",0.0%,2023/2/1,,
000002.0,招商银行,9007199254740993,-1.5%,2023/2/2,大整数行,   
00700.5,中国平安,1.5e9,0.8%,2023/2/3,,
688981,中芯国际,２３４,—,待定,全角数字,   
300059,东方财富,待定,5.5%,2023/2/6,,
600036,兴业银行,"-2,000",-0.7%,2023/2/7,尾行,
600000,浦发银行,"1.234,5",0.0%,2023-01-09 09:30:00,N/A,
600001,白云机场,2023.1,-0.1%,2023-01-10,NULL,   
600002,万科企业,2023.10,0.2%,2023-01-11,,
   ,   ,   ,   ,   ,   ,   
630001,样例股份1,"1,000",0.0%,2023/3/1,批量0,
630002,样例股份2,"1,001",1.0%,2023/3/2,批量1,   
630003,样例股份3,"1,002",2.0%,2023/3/3,批量2,
630004,样例股份4,"1,003",3.0%,2023/3/4,批量3,   
630005,样例股份5,"1,004",4.0%,2023/3/5,批量4,
630006,样例股份6,"1,005",5.0%,2023/3/6,批量5,   
630007,样例股份7,"1,006",6.0%,2023/3/7,批量6,
630008,样例股份8,"1,007",7.0%,2023/3/8,批量7,   
630009,样例股份9,"1,008",8.0%,2023/3/9,批量8,
630010,样例股份10,"1,009",9.0%,2023/3/10,批量9,   
630011,样例股份11,"1,010",0.0%,2023/3/11,批量10,
630012,样例股份12,"1,011",1.0%,2023/3/12,批量11,   
630013,样例股份13,"1,012",2.0%,2023/3/13,批量12,
630014,样例股份14,"1,013",3.0%,2023/3/14,批量13,   
630015,样例股份15,"1,014",4.0%,2023/3/15,批量14,
630016,样例股份16,"1,015",5.0%,2023/3/16,批量15,   
630017,样例股份17,"1,016",6.0%,2023/3/17,批量16,
630018,样例股份18,"1,017",7.0%,2023/3/18,批量17,   
630019,样例股份19,"1,018",8.0%,2023/3/19,批量18,
630020,样例股份20,"1,019",9.0%,2023/3/20,批量19,   
630021,样例股份21,"1,020",0.0%,2023/3/21,批量20,
630022,样例股份22,"1,021",1.0%,2023/3/22,批量21,   
630023,样例股份23,"1,022",2.0%,2023/3/23,批量22,
630024,样例股份24,"1,023",3.0%,2023/3/24,批量23,   
630025,样例股份25,"1,024",4.0%,2023/3/25,批量24,
630026,样例股份26,"1,025",5.0%,2023/3/26,批量25,   
630027,样例股份27,"1,026",6.0%,2023/3/27,批量26,
630028,样例股份28,"1,027",7.0%,2023/3/28,批量27,   
630029,样例股份29,"1,028",8.0%,2023/3/1,批量28,
630030,样例股份30,"1,029",9.0%,2023/3/2,批量29,   
